Timestamp,Frame,TrackID,Class,Confidence,Gender,Age,X,Y,Width,Height
8.34,242,4,person,0.641,Man,28,566,309,35,107
8.34,242,1,person,0.554,Man,34,631,364,47,136
8.38,243,4,person,0.512,Man,28,565,309,36,106
8.41,244,1,person,0.703,Man,34,632,367,44,97
8.45,245,1,person,0.826,Man,34,631,368,46,115
8.45,245,4,person,0.652,Man,28,568,311,36,101
8.48,246,1,person,0.824,Man,34,632,369,45,116
8.48,246,4,person,0.683,Man,28,571,312,32,100
8.52,247,1,person,0.743,Man,34,634,368,43,125
8.52,247,4,person,0.727,Man,28,571,310,35,110
8.55,248,1,person,0.72,Man,34,635,367,42,133
8.55,248,4,person,0.689,Man,28,570,309,39,114
8.59,249,4,person,0.708,Man,28,570,308,39,112
8.62,250,4,person,0.673,Man,28,568,309,40,108
8.62,250,1,person,0.603,Man,34,636,369,43,136
8.66,251,4,person,0.722,Man,28,570,310,39,103
8.66,251,1,person,0.702,Man,34,634,371,43,120
8.69,252,1,person,0.806,Man,34,632,370,45,114
8.72,253,1,person,0.737,Man,34,630,366,48,117
8.72,253,4,person,0.667,Man,28,572,304,34,115
8.76,254,1,person,0.753,Man,34,631,364,49,124
8.79,255,1,person,0.736,Man,34,632,363,49,127
8.83,256,1,person,0.754,Man,34,632,365,50,123
8.83,256,4,person,0.564,Man,28,575,305,33,71
8.86,257,1,person,0.605,Man,34,632,367,50,118
8.86,257,4,person,0.52,Man,28,577,304,31,103
8.9,258,1,person,0.733,Man,34,634,367,46,117
8.9,258,4,person,0.576,Man,28,578,303,32,106
8.93,259,1,person,0.688,Man,34,633,364,46,131
8.93,259,4,person,0.67,Man,28,578,301,33,111
8.97,260,1,person,0.602,Man,34,633,362,45,139
8.97,260,4,person,0.629,Man,28,579,301,33,108
9.0,261,1,person,0.759,Man,34,632,364,45,137
9.0,261,4,person,0.534,Man,28,581,302,29,74
9.03,262,1,person,0.781,Man,34,630,368,47,129
9.07,263,1,person,0.751,Man,34,628,368,49,120
9.07,263,4,person,0.541,Man,28,580,303,31,59
9.1,264,1,person,0.589,Man,34,629,367,51,111
9.1,264,4,person,0.544,Man,28,579,302,32,57
9.14,265,1,person,0.668,Man,34,630,364,50,120
9.14,265,4,person,0.545,Man,28,574,301,38,100
9.17,266,1,person,0.563,Man,34,631,364,48,99
9.21,267,1,person,0.64,Man,34,631,366,50,115
9.21,267,4,person,0.674,Man,28,575,305,39,111
9.24,268,1,person,0.693,Man,34,632,368,50,118
9.28,269,1,person,0.801,Man,34,632,370,49,121
9.28,269,4,person,0.648,Man,28,575,311,40,112
9.31,270,1,person,0.825,Man,34,633,369,46,129
9.31,270,4,person,0.642,Man,28,577,310,37,113
9.34,271,1,person,0.807,Man,34,633,367,45,138
9.34,271,4,person,0.553,Man,28,577,309,36,92
9.38,272,1,person,0.77,Man,34,632,369,46,135
9.38,272,4,person,0.677,Man,28,577,308,38,96
9.41,273,1,person,0.786,Man,34,631,371,45,128
9.41,273,4,person,0.722,Man,28,576,310,40,98
9.45,274,1,person,0.8,Man,34,630,372,46,123
9.45,274,4,person,0.764,Man,28,575,311,41,103
9.48,275,1,person,0.802,Man,34,630,371,46,118
9.48,275,4,person,0.646,Man,28,574,310,42,106
9.52,276,1,person,0.82,Man,34,631,369,45,130
9.52,276,4,person,0.68,Man,28,575,308,40,111
9.55,277,1,person,0.811,Man,34,631,369,45,138
